"Post","Content_URL"
"jackposobiec rebaliza indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33>  they are indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33>  massively one million tech jobs were lost to indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> in last decade according to uscis they were brought purposely by tech companies like intel tata hcl icc infosys because of cheaper labor and they cheated amp abused hb working visa","https://twitter.com/peter_zhang2013/status/1198216684273905664"
"yesbank seems to go  in this expiry break of inside bar low can lead downside fast
indigo seems to test  for this expiry
upl seems to test  in this expiry
rblbank seems to test  by this expiry
infosys seems to go to  by this expiry","https://twitter.com/AAkshav/status/1197904790740537344"
"it stocks tumble nifty it index falls over  infosys plunges ","https://twitter.com/stocks_in/status/1197800287072862210"
"infosys troubles mohandas pai says co should stop resorting to rhetoric","https://twitter.com/stocks_in/status/1197566265830912000"
"former infosysian mohandaspai says infosys should stop resorting to rhetoric","https://twitter.com/moneycontrolcom/status/1197798492984373249"
"itstocks tumble niftyit index falls over  infosys plunges ","https://twitter.com/sanikasurve8/status/1197759257002856448"
"we met ntk chief coordinator seeman and requested him to address the layoff issues in it industry
fite cognizant infosys capgemini stopitlayoff  tamil nadu","https://twitter.com/ielavarasanraja/status/1197740399877472256"
"companies need to be forthcoming on allaying specific concerns after whistleblower allegations and not resort to rhetoric like invoking god to defend said former infosysian tv mohandas pai
infosys","https://twitter.com/TNIEBiz/status/1197731583148474368"
"economictimes infosys kiranshaw ingovern tvmohandaspai nandannilekaniinfosys troubles mohandas pai says co should stop resorting to rhetoric ","https://twitter.com/svassociates/status/1197689348533018625"
